OBJECTID *;Shape *;REGN;SOATO;CATEGORY;NAMEOBJECT;NAME;Район;Name_categ;y;x;;
139;Точка;14713;4240501000;113;Мосты;Город районного подчинения-АТЕ;Мостовский;г. Мосты;53.41564;24.541814;;Гродненская
131;Точка;14422;4236506000;113;Березовка;Город районного подчинения-АТЕ;Лидский;г. Березовка;53.722177;25.495509;;Гродненская
147;Точка;17028;4236501000;113;Лида;Город районного подчинения-АТЕ;Лидский;г. Лида;53.900698;25.285015;;Гродненская
148;Точка;14248;4233857906;121;Мир;Поселок городского типа - городской поселок-АТЕ;Кореличский;гп Мир;53.454888;26.46652;;Гродненская
136;Точка;14247;4233551000;121;Кореличи;Поселок городского типа - городской поселок-АТЕ;Кореличский;гп Кореличи;53.568503;26.139781;;Гродненская
203;Точка;13861;4229857904;121;Юратишки;Поселок городского типа - городской поселок-АТЕ;Ивьевский;гп Юратишки;54.032799;25.928195;;Гродненская
201;Точка;13860;4229501000;113;Ивье;Город районного подчинения-АТЕ;Ивьевский;г. Ивье;53.932938;25.775917;;Гродненская
152;Точка;13722;4226551000;121;Зельва;Поселок городского типа - городской поселок-АТЕ;Зельвенский;гп Зельва;53.151884;24.810175;;Гродненская
149;Точка;13481;4223563000;121;Новоельня;Поселок городского типа - городской поселок-АТЕ;Дятловский;гп Новоельня;53.463105;25.573072;;Гродненская
146;Точка;13480;4223557000;121;Козловщина;Поселок городского типа - городской поселок-АТЕ;Дятловский;гп Козловщина;53.31759;25.290277;;Гродненская
145;Точка;13479;4223501000;113;Дятлово;Город районного подчинения-АТЕ;Дятловский;г. Дятлово;53.463783;25.408079;;Гродненская
144;Точка;13079;4220863904;121;Сопоцкин;Поселок городского типа - городской поселок-АТЕ;Гродненский;гп Сопоцкин;53.827637;23.659654;;Гродненская
135;Точка;13078;4220504000;113;Скидель;Город районного подчинения-АТЕ;Гродненский;г. Скидель;53.58003;24.231409;;Гродненская
142;Точка;12724;4213562000;121;Радунь;Поселок городского типа - городской поселок-АТЕ;Вороновский;гп Радунь;54.047419;24.996425;;Гродненская
151;Точка;12723;4213551000;121;Вороново;Поселок городского типа - городской поселок-АТЕ;Вороновский;гп Вороново;54.150503;25.313462;;Гродненская
143;Точка;12522;4208862906;121;Россь;Поселок городского типа - городской поселок-АТЕ;Волковысский;гп Россь;53.287212;24.413605;;Гродненская
202;Точка;12521;4208857906;121;Красносельский;Поселок городского типа - городской поселок-АТЕ;Волковысский;гп Красносельский;53.262223;24.429286;;Гродненская
134;Точка;12520;4208501000;213;Волковыск;Город районного подчинения-ТЕ;Волковысский;г. Волковыск;53.149526;24.440615;;Гродненская
200;Точка;12382;4204551000;121;Большая Берестовица;Поселок городского типа - городской поселок-АТЕ;Берестовицкий;гп Большая Берестовица;53.194057;24.01781;;Гомельская
127;Точка;12375;3401655000;123;Костюковка;Поселок городского типа - рабочий поселок-АТЕ;Гомельский;рп Костюковка;52.538504;30.914477;;Гомельская
128;Точка;12370;3401000000;112;Гомель;Город областного подчинения-АТЕ;Гомельский;г. Гомель;52.426349;30.983809;;Гомельская
117;Точка;12219;3256501000;213;Чечерск;Город районного подчинения-АТЕ;Чечерский;г. Чечерск;52.91497;30.919315;;Гомельская
98;Точка;12113;3254501000;113;Хойники;Город районного подчинения-АТЕ;Хойникский;г. Хойники;51.898201;29.983305;;Гомельская
124;Точка;12001;3250862906;223;Сосновый Бор;Поселок городского типа - рабочий поселок-АТЕ;Светлогорский;рп Сосновый Бор;52.519294;29.606528;;Гомельская
122;Точка;12000;3250852906;221;Паричи;Поселок городского типа - городской поселок-АТЕ;Светлогорский;гп Паричи;52.805755;29.413763;;Гомельская
114;Точка;12379;3250501000;213;Светлогорск;Город районного подчинения-АТЕ;Светлогорский;г. Светлогорск;52.625933;29.745282;;Гомельская
99;Точка;11768;3247501000;213;Рогачев;Город районного подчинения-ТЕ;Рогачевский;г. Рогачев;53.079101;30.024898;;Гомельская
125;Точка;11556;3245560000;121;Заречье;Поселок городского типа - городской поселок-АТЕ;Речицкий;гп Заречье;52.437287;30.08299;;Гомельская
104;Точка;11555;3245503000;113;Василевичи;Город районного подчинения-АТЕ;Речицкий;г. Василевичи;52.247535;29.826089;;Гомельская
105;Точка;12378;3245501000;213;Речица;Город районного подчинения-АТЕ;Речицкий;г. Речица;52.364774;30.384334;;Гомельская
112;Точка;11411;3243560000;221;Копаткевичи;Поселок городского типа - городской поселок-АТЕ;Петриковский;гп Копаткевичи;52.316167;28.811092;;Гомельская
126;Точка;11410;3243501000;213;Петриков;Город районного подчинения-АТЕ;Петриковский;г. Петриков;52.127099;28.489889;;Гомельская
102;Точка;11322;3240551000;221;Октябрьский;Поселок городского типа - городской поселок-АТЕ;Октябрьский;гп Октябрьский;52.645153;28.880442;;Гомельская
97;Точка;11242;3238501000;213;Наровля;Город районного подчинения-АТЕ;Наровлянский;г. Наровля;51.795112;29.506072;;Гомельская
108;Точка;12377;3235501000;213;Мозырь;Город районного подчинения-АТЕ;Мозырский;г. Мозырь;52.049836;29.232203;;Гомельская
106;Точка;11050;3230551000;121;Лоев;Поселок городского типа - городской поселок-АТЕ;Лоевский;гп Лоев;51.940631;30.791297;;Гомельская
100;Точка;10959;3228551000;221;Лельчицы;Поселок городского типа - городской поселок-АТЕ;Лельчицкий;гп Лельчицы;51.790389;28.322655;;Гомельская
101;Точка;10848;3225551000;221;Корма;Поселок городского типа - городской поселок-АТЕ;Кормянский;гп Корма;53.130482;30.803896;;Гомельская
111;Точка;10693;3223860904;221;Озаричи;Поселок городского типа - городской поселок-АТЕ;Калинковичский;гп Озаричи;52.463171;29.260249;;Гомельская
123;Точка;10692;3223501000;213;Калинковичи;Город районного подчинения-ТЕ;Калинковичский;г. Калинковичи;52.124653;29.324391;;Гомельская
116;Точка;10516;3218860906;221;Стрешин;Поселок городского типа - городской поселок-АТЕ;Жлобинский;гп Стрешин;52.730052;30.104489;;Гомельская
129;Точка;12376;3218501000;113;Жлобин;Город районного подчинения-АТЕ;Жлобинский;г. Жлобин;52.894371;30.023381;;Гомельская
107;Точка;10393;3216510000;113;Туров;Город районного подчинения-АТЕ;Житковичский;г. Туров;52.065855;27.736715;;Гомельская
121;Точка;10392;3216501000;113;Житковичи;Город районного подчинения-АТЕ;Житковичский;г. Житковичи;52.213543;27.853301;;Гомельская
110;Точка;10304;3214501000;113;Ельск;Город районного подчинения-АТЕ;Ельский;г. Ельск;51.817268;29.153045;;Гомельская
109;Точка;10185;3212857906;121;Тереховка;Поселок городского типа - городской поселок-АТЕ;Добрушский;гп Тереховка;52.213504;31.430863;;Гомельская
118;Точка;10184;3212501000;213;Добруш;Город районного подчинения-ТЕ;Добрушский;г. Добруш;52.411367;31.321802;;Гомельская
113;Точка;9968;3210810904;123;Большевик;Поселок городского типа - рабочий поселок-АТЕ;Гомельский;рп Большевик;52.563375;30.877408;;Гомельская
103;Точка;9816;3208501000;213;Ветка;Город районного подчинения-АТЕ;Ветковский;г. Ветка;52.559998;31.178982;;Гомельская
115;Точка;9550;3205857906;221;Уваровичи;Поселок городского типа - городской поселок-АТЕ;Буда-Кошелевский;гп Уваровичи;52.600815;30.728481;;Гомельская
96;Точка;9549;3205501000;213;Буда-Кошелево;Город районного подчинения-АТЕ;Буда-Кошелевский;г. Буда-Кошелево;52.719616;30.567336;;Гомельская
119;Точка;9400;3203557000;121;Комарин;Поселок городского типа - городской поселок-АТЕ;Брагинский;гп Комарин;51.439169;30.566881;;Гомельская
120;Точка;9399;3203551000;121;Брагин;Поселок городского типа - городской поселок-АТЕ;Брагинский;гп Брагин;51.790263;30.269355;;Гомельская
24;Точка;6674;2418552000;121;Боровуха;Поселок городского типа - городской поселок-АТЕ;Полоцкий;гп Боровуха;55.58664;28.607211;;Витебская
43;Точка;9393;2418000000;112;Новополоцк;Город областного подчинения-АТЕ;Полоцкий;г. Новополоцк;55.523216;28.596852;;Витебская
42;Точка;9391;2401554000;121;Руба;Поселок городского типа - городской поселок-АТЕ;Витебский;гп Руба;55.293405;30.28898;;Витебская
6;Точка;9387;2401000000;112;Витебск;Город областного подчинения-АТЕ;Витебский;г. Витебск;55.191269;30.199667;;Витебская
28;Точка;9113;2258818906;221;Оболь;Поселок городского типа - городской поселок-ТЕ;Шумилинский;гп Оболь;55.352651;29.305859;;Витебская
1;Точка;9112;2258551000;121;Шумилино;Поселок городского типа - городской поселок-АТЕ;Шумилинский;гп Шумилино;55.295986;29.610222;;Витебская
7;Точка;8830;2255551000;121;Шарковщина;Поселок городского типа - городской поселок-АТЕ;Шарковщинский;гп Шарковщина;55.365609;27.467493;;Витебская
41;Точка;8592;2251510000;113;Новолукомль;Город районного подчинения-АТЕ;Чашникский;г. Новолукомль;54.669026;29.152217;;Витебская
40;Точка;8591;2251501000;113;Чашники;Город районного подчинения-АТЕ;Чашникский;г. Чашники;54.851145;29.172705;;Витебская
17;Точка;8320;2249551000;121;Ушачи;Поселок городского типа - городской поселок-АТЕ;Ушачский;гп Ушачи;55.176237;28.618386;;Витебская
